89         number of stage
150515-034-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.3260    X coordinate mm
82.8945    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.3385    X coordinate mm
82.9100    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.3360    X coordinate mm
82.9235    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.3350    X coordinate mm
82.9350    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.2770    X coordinate mm
83.0405    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.2900    X coordinate mm
83.0600    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-6                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.2690    X coordinate mm
83.0750    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-7                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.2835    X coordinate mm
83.0910    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-8                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.2665    X coordinate mm
83.0995    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-035-9                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
55.7990    X coordinate mm
82.3900    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-036-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5485    X coordinate mm
81.9640    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5715    X coordinate mm
81.9855    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5945    X coordinate mm
81.9985    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5895    X coordinate mm
82.0240    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5960    X coordinate mm
82.0445    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5955    X coordinate mm
82.0635    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-6                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5965    X coordinate mm
82.0780    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-037-7                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
37.3620    X coordinate mm
78.1920    Y coordinate mm
10.8810    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-038-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
37.3815    X coordinate mm
78.3015    Y coordinate mm
10.8810    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-038-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
47.3720    X coordinate mm
76.1785    Y coordinate mm
10.8770    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-039-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
47.3855    X coordinate mm
76.1815    Y coordinate mm
10.8770    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-039-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.3330    X coordinate mm
75.9110    Y coordinate mm
10.8770    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-040-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.3560    X coordinate mm
75.8985    Y coordinate mm
10.8770    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-040-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
59.1295    X coordinate mm
74.7575    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-041-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
59.1255    X coordinate mm
74.7900    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-041-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
59.1420    X coordinate mm
74.8080    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-041-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.2700    X coordinate mm
73.7305    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.2930    X coordinate mm
73.7465    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.3145    X coordinate mm
73.7595    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.3315    X coordinate mm
73.7800    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4195    X coordinate mm
73.7860    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4340    X coordinate mm
73.7980    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-6                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4525    X coordinate mm
73.7945    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-7                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4565    X coordinate mm
73.8190    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-8                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4625    X coordinate mm
73.7655    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-9                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4425    X coordinate mm
73.7765    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-10                                     
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4315    X coordinate mm
73.7910    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-11                                     
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4365    X coordinate mm
73.8015    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-12                                     
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.4280    X coordinate mm
73.8155    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-043-13                                     
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
49.8250    X coordinate mm
73.5530    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-044-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
49.8605    X coordinate mm
73.5870    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-044-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
47.4450    X coordinate mm
73.2180    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-045-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
47.4290    X coordinate mm
73.2270    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-045-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.3230    X coordinate mm
71.8500    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-046-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.3460    X coordinate mm
71.8410    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-046-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
49.9115    X coordinate mm
71.3000    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-047-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
49.8820    X coordinate mm
71.3295    Y coordinate mm
10.8785    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-047-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
56.9970    X coordinate mm
66.2800    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-048-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.0110    X coordinate mm
66.2695    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-048-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5555    X coordinate mm
66.8385    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-049-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5370    X coordinate mm
66.8220    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-049-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5005    X coordinate mm
66.8325    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-049-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.5045    X coordinate mm
66.8625    Y coordinate mm
10.8740    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-049-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.9075    X coordinate mm
66.0910    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-050-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.9085    X coordinate mm
66.1335    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-050-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.9330    X coordinate mm
66.1760    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-050-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.9425    X coordinate mm
66.2255    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-050-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.1855    X coordinate mm
65.7355    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-050-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
51.4660    X coordinate mm
64.9800    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-051-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
51.3680    X coordinate mm
64.8875    Y coordinate mm
10.8815    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-051-2                                      
